ds,Naive,origin,SeasonalNaive,ARIMA,SARIMA,SES,ETS AAA,ETS MAM,ETS MMM,ETS MAdM,HistoricAverage,WindowAverage,AutoARIMA,AutoETS,Damped AutoETS,AutoCES,AutoTheta,SESOpt,SeasonalES,SeasESOpt,RWD,unique_id,LightGBM,CatBoost,XgBoost,RandomForest,TimeGPT
1959-01-31 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-28 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-31 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-30 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-31 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-30 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-31 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-31 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-30 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1959-10-31 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1959-11-30 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1959-12-31 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1960-01-31 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1960-02-29 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1960-03-31 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1960-04-30 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1960-05-31 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1960-06-30 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1960-07-31 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1960-08-31 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1960-09-30 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-31 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-30 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-31 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-31 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-28 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-31 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-30 00:00:00,406.0,123,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-31 00:00:00,406.0,123,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-30 00:00:00,406.0,123,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-31 00:00:00,472.0,126,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-31 00:00:00,472.0,126,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-30 00:00:00,472.0,126,,,,,,,,,,,,,,,,,,,,,,,,,
1959-10-31 00:00:00,463.0,129,,,,,,,,,,,,,,,,,,,,,,,,,
1959-11-30 00:00:00,463.0,129,,,,,,,,,,,,,,,,,,,,,,,,,
1959-12-31 00:00:00,463.0,129,,,,,,,,,,,,,,,,,,,,,,,,,
1960-01-31 00:00:00,405.0,132,,,,,,,,,,,,,,,,,,,,,,,,,
1960-02-29 00:00:00,405.0,132,,,,,,,,,,,,,,,,,,,,,,,,,
1960-03-31 00:00:00,405.0,132,,,,,,,,,,,,,,,,,,,,,,,,,
1960-04-30 00:00:00,419.0,135,,,,,,,,,,,,,,,,,,,,,,,,,
1960-05-31 00:00:00,419.0,135,,,,,,,,,,,,,,,,,,,,,,,,,
1960-06-30 00:00:00,419.0,135,,,,,,,,,,,,,,,,,,,,,,,,,
1960-07-31 00:00:00,535.0,138,,,,,,,,,,,,,,,,,,,,,,,,,
1960-08-31 00:00:00,535.0,138,,,,,,,,,,,,,,,,,,,,,,,,,
1960-09-30 00:00:00,535.0,138,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-31 00:00:00,508.0,141,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-30 00:00:00,508.0,141,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-31 00:00:00,508.0,141,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-31 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-28 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03-31 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1959-04-30 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1959-05-31 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1959-06-30 00:00:00,337.0,120,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-31 00:00:00,472.0,126,,,,,,,,,,,,,,,,,,,,,,,,,
1959-08-31 00:00:00,472.0,126,,,,,,,,,,,,,,,,,,,,,,,,,
1959-09-30 00:00:00,472.0,126,,,,,,,,,,,,,,,,,,,,,,,,,
1959-10-31 00:00:00,472.0,126,,,,,,,,,,,,,,,,,,,,,,,,,
1959-11-30 00:00:00,472.0,126,,,,,,,,,,,,,,,,,,,,,,,,,
1959-12-31 00:00:00,472.0,126,,,,,,,,,,,,,,,,,,,,,,,,,
1960-01-31 00:00:00,405.0,132,,,,,,,,,,,,,,,,,,,,,,,,,
