RMSE,SMAPE,RMSSE,Total_Train_Time,Horizon,Model
15.81259182,0.635151504,0.552899655,0.078299761,12,AutoCES
16.06012808,0.747921544,0.561554954,0.398059845,6,CatBoost
16.59536481,0.694834987,0.580269926,0.34631443,3,AutoCES
16.91257522,0.784364963,0.591361436,15.59492779,3,TimeGPT
16.96306625,0.835842526,0.593126894,0.248882532,12,XgBoost
17.35653299,0.850711327,0.606884767,0.251204491,12,CatBoost
17.55532523,0.710119013,0.613835693,0.166648149,6,AutoCES
18.30375717,0.844127079,0.640005202,0.398513079,6,XgBoost
19.09488988,0.829301593,0.667667777,0.250265598,6,LightGBM
19.37871906,0.86142502,0.677592087,0.6670506,3,CatBoost
21.13176689,1.062425966,0.738888777,7.783208609,6,TimeGPT
21.65720862,1.016438135,0.757261258,0.19908905,24,XgBoost
21.97092303,0.998127183,0.768230528,0.161943913,6,AutoTheta
22.00195743,0.89102639,0.76931567,0.350431204,3,LightGBM
22.09010762,1.050459665,0.772397911,0.051793814,24,AutoCES
22.66576293,1.15065124,0.792526149,0.847048044,6,RandomForest
23.13627233,1.055905954,0.808977879,1.217130661,3,RandomForest
23.16081133,1.08961021,0.809835904,0.3761518,3,SARIMA
23.47887812,1.073147781,0.820957359,35.36711144,6,NBEATS
24.32138714,1.126412972,0.850416346,0.77026248,3,XgBoost
24.69334759,1.14898679,0.863422235,8.272345304,24,NBEATS
24.9993751,1.247822768,0.874122726,0.149881601,24,CatBoost
25.11531818,1.221024039,0.878176767,0.203934193,6,SARIMA
27.87095568,1.123581613,0.97452979,0.315863609,3,AutoTheta
27.99710552,1.314267841,0.978940718,17.62350774,12,NBEATS
28.49533854,1.374398878,0.996361826,67.09653521,3,NBEATS
28.84773402,1.131912092,1.008683609,0.203977108,6,ETS
28.95784552,1.366133653,1.012533744,0.16582489,12,LightGBM
29.54373689,1.280426595,1.033019895,1.952712059,3,AutoETS
29.77097955,1.398068059,1.040965612,36.2177875,6,NHITS
30.22916368,1.493098856,1.056986379,3.634995222,12,TimeGPT
30.59154163,1.500399546,1.069657208,0.944942951,6,AutoETS
31.2697718,1.490346358,1.093372057,0.697421074,3,ARIMA
31.58124011,1.512609415,1.10426279,71.60812926,3,NHITS
31.78230333,1.582560658,1.111293123,0.461004734,12,RandomForest
34.05732281,1.411701087,1.190840961,0.109809875,12,ETS
34.4334762,1.601430309,1.203993459,9.023166418,24,NHITS
35.03433065,1.713529306,1.225002805,0.353276253,6,ARIMA
35.90160198,1.805362709,1.255327626,0.0941751,12,SARIMA
35.98362253,1.53962314,1.258195539,0.421989679,3,ETS
36.90552784,1.655785453,1.29043068,18.66361451,12,NHITS
37.04727813,1.65963685,1.29538709,0.069399595,12,AutoTheta
37.8994235,2.002010736,1.32518302,0.268241882,24,RandomForest
44.36228826,1.929027761,1.551162147,73.40655422,6,AutoNBEATS
45.63281708,1.821650667,1.595587182,145.9270763,3,AutoNBEATS
46.43596008,2.249771372,1.623669706,0.483073711,12,AutoETS
47.86291311,2.009781368,1.673564236,145.5594447,3,AutoNHITS
48.67708749,2.402405541,1.702032481,0.172744036,12,ARIMA
49.40454885,2.294722297,1.727468737,36.42224741,12,AutoNHITS
49.4659809,2.008217064,1.729616757,36.18694901,12,AutoNBEATS
49.96369155,1.872771883,1.7470196,0.048872471,24,ETS
49.98666489,2.791653191,1.74782288,0.015598774,6,SeasonalNaive
49.98666489,2.791653191,1.74782288,0.015640736,12,SeasonalNaive
49.98666489,2.791653191,1.74782288,0.020272732,3,SeasonalNaive
51.66153192,2.211399866,1.806385918,17.90141535,24,AutoNHITS
52.18017862,2.173033241,1.824520806,1.989860773,6,AutoARIMA
52.61087368,2.292226818,1.839580396,3.922560453,3,AutoARIMA
54.02920753,2.433230156,1.889173549,73.37060952,6,AutoNHITS
56.68700292,2.14709713,1.982105446,29.57094836,12,AutoMLP
58.16478789,3.096543038,2.033777355,0.683584213,24,LightGBM
58.67483866,2.872146799,2.05161168,0.021480322,24,AutoTheta
59.83902915,2.242610861,2.092318512,18.01566148,24,AutoNBEATS
