,RMSE,SMAPE,RMSSE,Total_Train_Time,Horizon,Model
43,15.812591818034612,0.6351515040150035,0.5528996550482422,0.07829976081848145,12,AutoCES
54,16.06012808133365,0.7479215440688011,0.5615549543290265,0.3980598449707031,6,CatBoost
41,16.595364809084714,0.6948349867128942,0.5802699256346916,0.3463144302368164,3,AutoCES
113,16.912575221378603,0.7843649627074946,0.5913614360937784,15.594927787780762,3,TimeGPT
59,16.9630662458436,0.8358425255948133,0.5931268943014513,0.24888253211975098,12,XgBoost
55,17.356532990475756,0.8507113271092062,0.6068847671336556,0.2512044906616211,12,CatBoost
42,17.555325231293835,0.7101190131499779,0.6138356934991376,0.16664814949035645,6,AutoCES
58,18.30375717190234,0.8441270788733299,0.6400052023659618,0.3985130786895752,6,XgBoost
50,19.094889877741153,0.8293015932659353,0.6676677769261158,0.25026559829711914,6,LightGBM
53,19.378719064511717,0.8614250202503735,0.6775920866954407,0.6670506000518799,3,CatBoost
114,21.13176689404022,1.06242596607481,0.7388887767879476,7.783208608627319,6,TimeGPT
56,21.657208622182935,1.0164381345441105,0.7572612582622825,0.19908905029296875,24,XgBoost
46,21.970923025534578,0.9981271831214047,0.7682305280311361,0.16194391250610352,6,AutoTheta
49,22.001957432084414,0.8910263896594143,0.7693156703578014,0.3504312038421631,3,LightGBM
40,22.0901076175514,1.0504596654823557,0.7723979106191068,0.051793813705444336,24,AutoCES
62,22.665762925982776,1.1506512402017826,0.7925261492482347,0.8470480442047119,6,RandomForest
61,23.136272325870866,1.0559059541112497,0.8089778788501069,1.2171306610107422,3,RandomForest
13,23.16081133049743,1.0896102097213798,0.8098359043622674,0.37615180015563965,3,SARIMA
66,23.478878117123532,1.0731477809371393,0.8209573586204684,35.36711144447327,6,NBEATS
57,24.32138713505823,1.1264129717513371,0.8504163461635381,0.7702624797821045,3,XgBoost
64,24.693347585706352,1.148986790493308,0.8634222345859774,8.272345304489136,24,NBEATS
52,24.999375102294795,1.2478227677291094,0.8741227263398998,0.14988160133361816,24,CatBoost
14,25.115318176364877,1.2210240391415652,0.8781767667145757,0.2039341926574707,6,SARIMA
45,27.870955683887054,1.1235816125504465,0.9745297899810916,0.31586360931396484,3,AutoTheta
67,27.997105524306214,1.3142678409144806,0.9789407179336235,17.623507738113403,12,NBEATS
65,28.495338544141653,1.3743988782127756,0.9963618256160766,67.09653520584106,3,NBEATS
22,28.847734017505136,1.1319120924112844,1.0086836092873033,0.20397710800170898,6,ETS
51,28.957845523654957,1.3661336534807575,1.012533744323208,0.16582489013671875,12,LightGBM
37,29.543736894500928,1.2804265947398592,1.0330198948900633,1.952712059020996,3,AutoETS
70,29.77097954772894,1.398068059160518,1.0409656122036992,36.21778750419617,6,NHITS
115,30.22916368438379,1.4930988564921353,1.056986379325261,3.634995222091675,12,TimeGPT
38,30.591541631180515,1.5003995457577337,1.0696572079969078,0.9449429512023926,6,AutoETS
9,31.26977180247305,1.4903463580766199,1.0933720570277454,0.6974210739135742,3,ARIMA
69,31.581240107247485,1.5126094146489717,1.104262790201028,71.6081292629242,3,NHITS
63,31.782303334051495,1.582560657704538,1.1112931233698153,0.46100473403930664,12,RandomForest
23,34.05732280763207,1.4117010873316413,1.1908409607291608,0.10980987548828125,12,ETS
68,34.43347620304271,1.6014303085913082,1.2039934587485281,9.023166418075562,24,NHITS
10,35.03433064678003,1.7135293058321166,1.22500280487594,0.35327625274658203,6,ARIMA
15,35.901601980732934,1.805362708736315,1.2553276261888444,0.09417510032653809,12,SARIMA
21,35.983622532258075,1.5396231401707414,1.2581955389995318,0.42198967933654785,3,ETS
71,36.90552784107723,1.6557854533216003,1.2904306800250471,18.663614511489868,12,NHITS
47,37.047278131324425,1.6596368504761014,1.295387089921828,0.06939959526062012,12,AutoTheta
60,37.89942350183068,2.0020107357482453,1.3251830200783572,0.26824188232421875,24,RandomForest
102,44.3622882627288,1.9290277614132427,1.5511621472223693,73.40655422210693,6,AutoNBEATS
101,45.63281707504785,1.821650666980534,1.5955871820391712,145.92707633972168,3,AutoNBEATS
39,46.435960084970816,2.2497713716903385,1.6236697062863572,0.48307371139526367,12,AutoETS
105,47.862913105309154,2.0097813676342438,1.6735642360253264,145.5594446659088,3,AutoNHITS
